Timestamp	Rule	Class	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm	ExecTime_ms
84.000000	------	------	2.000000	7.500000	0.500900	0.500691	0.625000	0.003600	0.002877	0.059443	1.686135	1.000000	0.004241	0.001381	0.002250	0.997123	0.004258	0.000343	0.500691	319.000000
85.000000	------	------	2.000000	12.000000	0.500100	0.500143	0.512987	0.001600	0.001485	0.040746	1.140677	0.500000	0.001768	0.000286	0.000850	0.998515	0.001771	0.000071	0.500143	316.000000
86.000000	------	------	11.000000	3.272727	0.533182	0.505643	0.459999	0.115245	0.110139	0.235551	1.025988	0.545455	0.090938	0.011286	0.055027	0.889861	0.121426	0.002797	0.505643	298.000000
87.000000	------	------	2.000000	3.500000	0.505450	0.504234	0.583651	0.025750	0.021323	0.163438	1.405072	1.000000	0.029092	0.008467	0.015600	0.978677	0.029790	0.002101	0.504234	281.000000
88.000000	------	------	4.000000	5.250000	0.483400	0.504181	0.696122	0.017050	0.012674	0.130098	2.320820	1.000000	0.020681	0.008362	0.011125	0.987326	0.021037	0.002075	0.504181	307.000000
89.000000	------	------	2.000000	3.000000	0.501600	0.501638	0.744828	0.003200	0.001630	0.069433	3.313829	1.000000	0.004899	0.003277	0.002400	0.998370	0.004906	0.000813	0.501638	299.000000
90.000000	------	------	12.000000	1.833333	0.493258	0.509608	0.556103	0.235208	0.225168	0.364158	1.121079	0.833333	0.186818	0.019217	0.130775	0.774832	0.244385	0.004774	0.509608	336.000000
91.000000	------	------	7.000000	4.285714	0.474386	0.502228	0.537035	0.059514	0.057353	0.210134	1.228030	0.428571	0.057128	0.004456	0.033343	0.942647	0.061809	0.001104	0.502228	304.000000
92.000000	------	------	12.000000	3.000000	0.523317	0.507064	0.513707	0.077517	0.070763	0.224493	1.243783	0.500000	0.072053	0.014128	0.040317	0.929237	0.084891	0.003509	0.507064	297.000000
93.000000	------	------	14.000000	2.571429	0.510150	0.509809	0.661282	0.113564	0.103770	0.284246	4.828439	0.928571	0.099422	0.019618	0.058550	0.896230	0.123387	0.004862	0.509809	309.000000
94.000000	------	------	3.000000	2.333333	0.536033	0.528501	0.682942	0.096633	0.070560	0.312091	3.183092	1.000000	0.114192	0.057002	0.057867	0.929440	0.127562	0.014103	0.528501	317.000000
95.000000	------	------	9.000000	3.555556	0.491189	0.510174	0.640454	0.055367	0.045033	0.212354	1.859542	1.000000	0.060853	0.020347	0.034278	0.954967	0.065381	0.005055	0.510174	344.000000
96.000000	------	------	11.000000	2.545455	0.489427	0.510945	0.567688	0.145718	0.133909	0.296424	1.187258	0.818182	0.124931	0.021891	0.084100	0.866091	0.155800	0.005437	0.510945	293.000000
97.000000	------	------	2.000000	5.500000	0.502650	0.502673	0.845816	0.003850	0.001315	0.080982	23.731040	1.000000	0.006655	0.005345	0.003250	0.998685	0.006661	0.001322	0.502673	298.000000
98.000000	------	------	8.000000	4.375000	0.529275	0.506545	0.564788	0.132950	0.127012	0.269907	4.980298	0.875000	0.104850	0.013090	0.063488	0.872988	0.140102	0.003244	0.506545	292.000000
